ItinID;MktID;MktCoupons;Year;Quarter;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;Origin;OriginCountry;OriginStateFips;OriginState;OriginStateName;OriginWac;DestAirportID;DestAirportSeqID;DestCityMarketID;Dest;DestCountry;DestStateFips;DestState;DestStateName;DestWac;AirportGroup;WacGroup;TkCarrierChange;TkCarrierGroup;OpCarrierChange;RPCarrier;TkCarrier;OpCarrier;BulkFare;Passengers;MktFare;MktDistance;MktDistanceGroup;MktMilesFlown;NonStopMiles;ItinGeoType;MktGeoType
201513819389;20151381938901;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;237.0;2218.0;5;2218.0;2218.0;2;2
201513819390;20151381939001;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;3.0;279.0;2218.0;5;2218.0;2218.0;2;2
201513819391;20151381939101;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;429.0;2218.0;5;2218.0;2218.0;2;2
201513819392;20151381939201;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;524.0;2218.0;5;2218.0;2218.0;2;2
201513819393;20151381939301;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;614.0;2218.0;5;2218.0;2218.0;2;2
201513819394;20151381939401;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;192.24;2218.0;5;2218.0;2218.0;2;2
201513819394;20151381939402;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;4318;2340;0.0;1;0.0;0;0;0;0.0;1.0;203.76;1947.0;4;2351.0;2218.0;2;2
201513819395;20151381939501;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;208.74;2218.0;5;2218.0;2218.0;2;2
201513819395;20151381939502;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;4318;2340;0.0;1;0.0;0;0;0;0.0;1.0;221.26;1947.0;4;2351.0;2218.0;2;2
201513819396;20151381939601;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;272.82;2218.0;5;2218.0;2218.0;2;2
